0	Ku margi rumaos abot, Ujang henteu kersaeun nyandak lalangsé tina gédéng pangkulemannana.		
1	Lamun pijodoeun mah kudu ditempo tepi ka agamana		
1	Kuring mah kakara mayar kuliah bieu ku kituna meunang jas almamater di ahir-ahir waktu		
1	Ulah sok mikiran dunya teuing sabab ahirna mah urang bakal maot		
0	Pak Ustadz keur ngawulang perkara ahlak ka para santri		
0	Kudu silih ajénan, silih méré aprésiasi kana karya.		
0	Diajar Basa Sunda kudu tepi ka akar-akarna pikeun ngarti pisan		
0	Lamun kakara asup sakola tahun ajaran anyar, budak sakola kantongna sok alanyar		
0	Budak téh indit ti imah tapi alesanana teu jelas		
0	Dusun Pelangi katelah aman jeung éndah		
1	Buah naga mah rasana amis.		
1	Bungah pisan manéhna boga motor anyar.		
1	Jadi, tong boro nyorang ieu jalan, dalah mulang ka lembur oge kawilang arang		
1	Pa Haji masihkeun durén asak ka Bu Romo		
1	cai santen kuring asin.		
1	Ah, si Kabayan kalah meuli mangga atah, padahal uing ménta nu asak!		
0	Dina Boboran, pangaos daging sok jadi awis		
1	buahna awon		
1	Ceuk mamah lamun néangan tutut kudu nu eusina ayaan		
1	Bapa manéh di Jakarta jadi Babu		
0	eta barudak badegong pisan		
0	Budi mah budak bageur lantaran tara kaluar imah		
0	ulah ulin di leuweung matak bahaya!		
0	si rika geulis pisan irungna bangir		
0	budak bangor mah moal dipikaresep ku batur		
0	Pamungkas nincak ka dieu teh mun teu salah mah basa rek ngalegalisir STTB ka kepala SMP		
1	Sanaos awakna bayuhyuh tapi Budi mah mun lumpat gancang		
1	Geus kolot mah sok belet ngagunakeun HP.		
1	Naha ningan calana anu kamari karék diseueuh ayeuna geus belok?		
1	Gawéan si Ujang teu bener, manéhna kudu dihukum sabeurat-beuratna!		
1	Lamun ka indomaret pantona kudu dibetot		
1	kendi téh beueus		
0	jelema beunghar		
1	Ku sabab motorna beurat, Ujang labuh tina motorna.		
1	Ku sabab rumasa beurat, Ujang teu daékeun mawa rérégan ti gigir kamerna.		
1	Rina milih lipensetip anu beureum burahay kusabab cocok jeung bajuna cenah.		
0	Gagantian kasebut dibatalkan dina taun 1932 ku kituna balik deui maké kalender biasa.		
0	Lamun geus kolot mah sok rada biko kana ngagunakeun téknologi.		
0	kuring ngarasa bingah lantaran juara		
0	Ah kalakah jadi teu ramé kiyeu, bitan ah urang mah, bung miluan deui.		
0	Di Pasar Sukahaji nu tempatna jual beuli sato, aya dijual bocokok atawa anak buhaya		
0	jadi jalma ulah bodo		
1	Kuring labuh nepi ka bohak		
1	Teu bisa saé sorangan lantaran borangan		
1	Lamun Ani geus ngomong enya bujeng, hartina bisa datang		
1	buru geura diacuk, tong buligir, isin ku batur!		
1	geus boga buntut		
1	buntut maung		
0	Sanggeus 8 bulan, awakna katingali bureuteu.		
1	Kuring nyangu meni béar.		
1	Tilu puluh nagara narima prinsip ékonomi pasar bébas.		
1	Bumi dibagi jadi dua puluh opat wewengkon wayah anu béda.		
0	Kudu béréhan ka kolot téh!		
0	warungna caang berarti buka kénéh		
0	cacad lantaran kacilakaan		
0	Kuring keur teu cageur ku kituna teu waka bisa kamana-mana		
0	budak téh mani calakan		
0	Manéhna mah ngawadul waé, kuring mah cangcaya		
1	Urang geus capé néwak hayamna Pa Haji, ku manéh wé lah!		
