anger	nu katoel katuhu nu nyerina kenca wasitna
joy	hayang seuri ngagakgak
anger	teunggeul punukna ku gagang pacul
fear	asa keueung hirup di zaman
anger	mana jelemana mang podaran ku aing
fear	sieun barca eleh
joy	asa ragrag jajantung ammarwatasuta
fear	anu labuh keueung kieu
anger	nyinyir terus nu baleg babangus teh
joy	bagja urang ningali babaturan
fear	paling geus hoream ngadenge lengser wengi
fear	sieun kana bedil sareng bedog
fear	komplek perumahan si uwa sarieun kieu
anger	rujit sia beungeut sia
anger	belegug kehed sia cicing anjing
fear	bulu kuduk nempoan foto di sleman
anger	anjing ka jelema anu sok panjang leungeun teh
anger	bagong corona nyusahkeun si anjing
fear	dilegok demi allah tatangga serem mang aduh
joy	seuri macaan nu parasea beda basa
fear	kieu gara gara covid-19
fear	ningali nu tabrakan
fear	sarieun tea keur corona kieu kaluar
sadness	ngoceak ningali raga nu papisah
