anger	jati tangkurakna kudu dirujadkeun areuweuh akhlakan
anger	gebug punukna ku gagang pacul
anger	ti mana jelemana mang podaran ku aing
fear	ngadegdeg sieun barca keok
anger	nyinyir terus nu baleg goblog babangus teh
joy	bagja urang ningali balad sukses
fear	asa sarieun dieu gusti
fear	komplek perumahan si uwa sarieun kieu
anger	rujit sia beungeut silaing siga takokak
anger	belegug kehed sia ngajedog wae anjing
anger	di dieu beungeut hayang digaplok
fear	sieun palih dieu hujan angin boy
anger	aing hayang ngagebug ieu jelema
anger	ijid anjing ka jelema anu sok panjang leungeun teh
joy	asa sumringah ti dinya hate teh
fear	sieun ngadenge sora bangkong beker sakieu
joy	genah seuri macaan nu parasea beda basa
fear	sararieun ditu gara gara covid-19
joy	asa bingah ningal istri rambut kobong teh
fear	sarieun tea keur corona kieu kaluar
joy	nuhun dieu pamajikan seuseurian ningal nu acuk beureum
sadness	ngoceak ningali raga nu papisah jeung nyawa
