kata,sinonim
abus,asup
acan,"can,tacan"
ali,cingcin
amitan,permisi
parantos,atos
angkir,ondang
ulem,haturanan calik
arek,rek
ari,"dupi,upami"
pajaratan,"pasarean,makam"
atoh,"bungah,gumbira"
babari,gampang
bagilir,baganti
balik,mantog
wangsul,mulang
abot,sesah
wargi,saderek
basa,waktu
nalika,waktos
bawa,banjut
bebeja,pupulih
unjukan,"nyarios,wawartos,pupulih"
nyanggem,popoyan
begang,"kuru,kejeng"
wartos,iber
pangesto,"aya hibar,wilujeng"
beuki,resep
beuki,tambah
beungeut,bebengok
beuteung,gegembung
beuteung,padaharan
bisa,"becus,belul"
boga,gableg
bujur,birit 
anggoan,"anggean,raksukan"
pasihan,"paparin,leler"
seneng,sedep
pameunteu,raray
udel,puseur
carecet,saputangan
ceuk,cenah
ceuli,jejebir
ceurik,leweh
cici,nyician
cicing,ngajedog
cing,cik
cokot,gubug
damang,"pangesto,wilujeng"
wagel,seuseul
pair,mairan
calik,linggih
dahar,"nyatu,hakan"
dumeh,pedah
sumping,rawuh
jajaran,ku margi
purun,"kersa,sanggem"
eleh,keok
emboh,tambah
alim,"narah,teu kersa"
leres,"yaktos,sumuhun,muhun"
gawe,gadag
saur,gentra
awon,teu sae
haben,terus-terusan
hal,perkara
handeueul,hanjakal
hate,"angen,pucus"
hed,kotoran
heran,helok
heubeul,lila
heug,"seug,heg"
sambetan,paetangan
manah,galih
indung,biang
irung,cungur
iwal,kajaba
bumi,gogobrog
indit,mantog
jalma,jelema
jero,lebet
sareng,miwah
kurabu,suweng
kakara,karek
kakus,"kamar mandi,cai"
kalan-kalan,sawaktos-waktos
kalenger,kapaehan
karunya,"hawatir,watir"
kede,kenca
kiih,mecer
jatukrami,"nikah,rendengan,ngadahup"
kanggo,"kangge,haturan"
dehe,ingkab
laju,terus
laku,"payu,laris"
leumpang,nyeker
leungeun,kokod
lajeng,"teras,tuluy,laju"
lantaran, ku margi
leumpang,lampah
kaliru,"lepat,salah"
papah,angkat
alit,campernik
mahi,cukup
malem,peuting
maot,"paeh,modar"
marukanana,samarukna
matuh,cicing
meureun,"manawi,mungkin"
mindeng,"osok,remen"
nilar,"tilar dunya,ngantunkeun"
mugi-mugi, mugia
mung,"wungkul,saukur,tapi,namung,ukur"
wasta,nami
jenengan,kakasih
ngeunah,genah
sirik,ngewa
ngising,modol
hudang,"bangun,nyaring,can hees,can molor"
omong,"ngabangus,ngabacot"
kagegelan,kaemutan
saur,lahir
ubar,landong
bojo,"pamajikan,pun bojo"
papatah,nasehat
pasti,tangtu
perlu,butuh
rahim,pianakan
jang,"pikeun,paranti,keur,ka,eukeur"
poho,"limpeur,limpeuran"
pendak,tepang
pangku,lahun
payu,laku
pelik,"hese,susah"
teda,suhunkeun
permisi,amitan
pucet,teu marahmay
tangtos,kantenan
geureuha,"garwa,istri"
piwuruk,piwejang
kakandungan,reuneuh
caket,deukeut
rea,loba
ngarasa,rumaos
seneng,sedep
ngandung,"kandeg,ngandeg,bobot"
sadia,siap
sagala,saniskara
sakur,sakabeh
sangka,duga
sare,"hees,molor"
sawadina,"sakuduna,sakedahna"
sesa,urut
seubeuh,bentet
sirah,"hulu,babatok"
sore,"burit,sareupna"
suku,"cokor,ceker"
sumawonna,komo
sugri,"sadaya,sakumna,sarerea,sadayana"
salaki,pun lanceuk
sangkan,"supados,supanten"
jiga,"asa,kawas,siga"
sare,"mondok,ngendong"
