kata,sinonim
aang,"akang,lanceuk,raka,teteh,alo,pun lanceuk"
abah,"bapak,apa,rama,pun rama,tuang rama"
abdi,"sim kuring,aing,dewek,kaula,kuring,pribados,urang,abdi,uing"
abot,beurat
acuk,"raksukan,anggoan"
adeuk,"arek,rek,bade,bakal,matak,hayang,hoyong"
adi,"rai,pun adi"
agan,juragan
ageung,"badag,gede"
aneh,aheng
ali,"cingcin,lelepen"
alim,"teu hoyong,embung,teu hayang,teu suka"
alit,"leutik,sajabina"
alo,suan
alung,"balang,baledog,mengpar"
alus,sae
amang,"emang,mamang"
ambek,bendu
ambu,"biang,ibu,indung,pun biang"
ameng,ulin
amis,kareueut
anak,"budak,murangkalih,putra"
anggo,pake
angkat,"indit,ingkig,mios"
angkeng,cangkeng
angkeub,ceudeum
angkeut,gado
anjeun,"hidep,maneh,sia"
anjeunna,manehna
anom,ngora
antos,dago
anu,nu
anyar,weuteuh
artos,duit
asin,molelel
astra,"beungeut,pameunteu,raray"
asup,lebet
atanapi,atawa
atik,wuruk
atikan,wurukan
atoh,"bungah, bingah, galumbira, gumbira, bagja,seneng"
atos,"enggeus,parantos"
atra,"jatra,eces"
awak,"salira,waruga,waragad"
awewe,"isteri,mojang"
awi,haur
awon,"butut,goreng"
ayeuna,kiwari
babaturan,"balad,deungeun,rencang,rerencangan"
bageul,teuas
baham,sungut
baheula,"bareto,heubeul,kapungkur"
balik,"mulih,uih,wangsul"
balong,"empang,kulah,leuwi"
bancet,buyur
bantun,"bawa,candak,ringkid"
bantos,tulung
baraya,"dulur,saderek,kulawarga,kulawargi"
basa,"waktos,wanci,wayah"
baseuh,"cipruk,jibreg,rancucut"
bayeungyang,"hareudang,kareunang"
bayuhyuh,"lintuh,bureuteu"
beak,"ledis,ludes,seep"
bebene,kabogoh
begang,"jangkorang,kuru,peot"
beha,kutang
beja,"bewara,iber,tanggara,pangumuman"
beke,pendek
belegug,"belet,bodo,boloho"
bener,leres
bengkok,bengkung
beuheung,tengek
beuleum,duruk
beuli,"galeuh,peser"
beol,"ee,modol,miceun"
beurang,siang
beuteung,"padaharan,patuangan"
bieu,"karek,nembe"
binangkit,motekar
bitis,wetis
biwir,lambey
bobo,"hees,kulem,sare"
bobos,hitut
boga,"gaduh,kagungan"
bojo,"garwa,pamajikan,pun bojo, istri"
bujangan,jajaka
bujur,"imbit,liang tai,bool"
bulan,sasih
bumi,"imah,rorompok"
buruan,pakarangan
burung,"gila,edeg,gelo,teu eucreug"
butuh,peryogi
cabok,"gampleng,tampiling"
cadu,pantrang
cageur,"damang,jagjag,walagri,waluya"
caket,deukeut
calakan,"getol,hideng,rajin,ulet"
calana,lancingan
calik,diuk
cangcang,cangked
caram,carek
carang,carengcang
carios,"carita,hikayat,dongeng"
caroge,salaki
cawet,kolor
cekap,euleum
cepil,ceuli
ceuk,saur
cokot,candak
coplok,lesot
cukang,"rawayan,sasak"
cunihin,purunyus
daek,"kersa,hayang,hoyong,palay"
dahar,"neda,tuang,emam"
damar,cempor
damel,gawe
damis,pipi
dangdan,"ngaluis,dangdos"
danget,"heuleut,mangsa"
dangu,"denge,kuping"
darehdeh,someah
datang,"dongkap,dugi,sumping"
deudeuh,karunya
deuleu,"irong,ningal,tempo,tenjo,tinggal"
dinten,poe
dudukuy,"kerepus,topi"
duka,"teu terang,teuing"
eleh,"kawon,keok"
eleketek,keleketek
emut,inget
enggal,"gancang,tarik"
enjing,"isuk,isukan"
enjing-enjing,isuk-isuk
entog,meri
entong,ulah
enya,"heueuh,muhun,sumuhun,nya"
era,isin
etang,itung
eueut,nginum
eujeung,"sareng,sinareng,jeung,rejeung"
gabrug,kerekeb
gajih,"letoy,leuleus"
galur,"leumpang,papah,lampah"
gampang,"gampil,babari,enteng"
ganti,gentos
garing,"halodo,teu subur"
garo,"garuk,ngagaro,gagaro"
garong,"maling,paok,paling"
gawir,jungkrang
geheng,tutung
gembul,"rewog,segut"
gering,"nyeri,udur,teu damang"
gero,"ngageroan,nyalukan,nyambat"
geter,endeur
getok,teke
geugeut,"nyaah,welas"
geuleuh,ijid
gigir,gigireun
goyang,"giteuk,ngagiteuk,geol,ngageol"
godog,kulub
gogog,anjing
gugah,"hudang,lilir"
haus,"hanaang,halabhab"
hampas,seupah
hampura,"punten,hapunten"
hareup,payun
harewos,haharewosan
harti,hartos
loba,haweuk
henteu,moal
hese,sesah
hilap,"lali,limpeur,limpeuran,poho"
hilik,kade
hoream,males
huis,salatu
hujan,"ujan,ngijih"
hulu,"mastaka,sirah"
huntu,waos
ibak,"mandi,siram"
ibing,"igel,ngagitek,tari"
ical,leungit
ingkab,"kelek,musna"
irung,pangambung
iwal,kajabi
jalma,"jalmi,manusa,jelema"
jangar,"lieur,rudet,puyeng,rieut"
jangji,"pasini,ikrar"
jangkung,"jangkorang,luhur,luhureun"
janten,"juntrung,lumangsung,purun,jadi"
jauh,tebih
jenengan,"nama,nami,ngaran,wasta"
jiga,"asa,kawas,sapertos,siga,"
jumpalit,juralit
jurig,"ririwa,siluman,dedemit,makhluk halus,siluman"
kabeh,sadayana
kadek,"sabet,bacok"
kaen,"lawon,layon"
kakandungan,"reuneuh,ngandung,ngandeg"
kalangkang,sawangan
kalih,oge
kanggo,"jang,pikeun,paranti,keur,ka,eukeur"
kangkalung,kongkorong
katuhu,tengen
kawih,"langgam,tembang,lagu"
kenca,kiwa
kentel,"lekoh,liket,keupeul"
kirang,kurang
kojor,"maot,paeh,pupus,tilar dunya,modar"
kolot,"sepuh,jompo"
koret,"medit,kumed" 
kumbah,wasuh
kumis,rumbah
kunyuk,"monyet,wanara"
lahan,"taneuh,tegalan,tegal"
lain,"sanes,sejen,sejena"
lajeng,"teras,tuluy,terus"
lalaki,pameget
lami,"lawas,lila,heubeul"
lamot,letak
lamun,"manawi,sugan,upami,upama"
langkung,"leuwih,alabatan,tambah"
lantaran,"margi,sabab"
lepat,"teu leres,salah,kaliru"
leungeun,"panangan,wastapel"
loba,seueur
lodaya,"maung,meong"
lomari,almari
ludeung,"teuneung,wani"
maehan,"mateni,ngarogahala"
maenya,piraku
mangga,pek
mimiti,"awit,asal,kawit,kahiji,pangheulana"
mindeng,"sering,osok,remen"
mondok,ngendong
mung,"ngan,wungkul,saukur,tapi,malulu,namun"
murag,"ragrag,labuh,batal"
naek,"nerekel,numpak"
nangkring,mejeng
nangtung,"ngadeg,tatih"
neang,"pilari,teang"
nene,nini
ngadegdeg,"ngahodhod,ngageter"
ngalamun,"ngimpleng,ngahayal"
ngarasa,rumaos
ngeunah,"genah,raos,nimat"
ngemut,"ngimpleng,nginget"
ngomong,nyarios
nincak,tincak
nyaho,"terang,uninga"
nyaram,"nyarek,ngahulag,nyegah,ngalarang,ngahalang"
ondang,ulem
panyawat,"panyakit,kasakit,kasawat"
parawan,"wanoja,cawene,mojang"
parin,seren
pasanggiri,"winojakrama,perlombaan,saembara"
peuting,wengi
pengker,tukang
perkara,"perkawis,masalah,pasualan,sual"
raheut,tatu
rahul,"wadul,bohong,gombal"
rambut,buuk
ramo,reuma
rampus,"hawek,sarakah,toma,tama,egois"
regot,nyuruput
rupa,"rupa-rupa,rupi,rupina,rupi-rupi,aneka ragam,sababaraha,aneka,macem-macem,jenis"
sampean,"dampal,suku,cokor"
sampurasun,"punten,hapunten"
sanggem,"kersa,wantun,sanggup"
sangka,"sangki,teguh"
sapalih,sawareh
saprak,tisaprak
sebut,"nyebutkeun,nyebatkeun"
semah,"tamu,tatamu"
sesa,"nyesakeun,tilas,urut"
seubeuh,wareg
simpang,"sindang,nyimpang"
simpe,"jempling,tiiseun,combrek"
soak,"reuwas,kaget"
soweh,sowek
susukan,"wahangan,walungan,solokan"
taar,"tarang,dahi"
taktak,taraju
taun,warsi
tijalikeuh,"tisoledat,tiseureuleu"
umur,yuswa
wanoh,wawuh
aba-aba,parentah
antep,ingkeun
ngantep,ngingkeun
wulu,"wudu,abdas"
abdi,"budak beulian,abid,hamba sahaya,suwita"
ngabdi,"ngawula,ngabakti"
ngabaktikeun,ngabdikeun
pangawula,nu ngawula
ngabjadkeun,merelekeun aksara
kulawu,hawuk
hambur,"boros,olok"
pangacak,alat pikeun ngacak
acak-acakan,pabalatak
nyieun acara,ngayakeun acara
palire,pirosea
malire,"mirosea,merhatikeun,madulikeun,ngindahkeun"
adegan,babak
adigung,takabur
nindak perkara,mutus perkara
adopsi,mulung
ngadopsi,mulung anak
nu ngadopsi,nu mulung
adres,alamat
aduh,duh
ngaduk,ngagalokeun
ngadukkeun,ngagalokeun
sehat,"cageur,damang,jagjag,bersih"
sigana,"kawasna,teu disangka-sangka,kawasna,rupina,jigana"
nganut agama,ngagem agama
sangkan,"supaya,supados,supanten"
agul,"sombong,adigung,angkuh"
ngagulkeun,nyombongkeun
leho,umbel
cimata,"cisoca,cipanon"
ajakan,pangajak
dalit,conggah
giat,getol,aktip
ngaktipkeun,"ngagiatkeun,ngagalakkeun"
nu ngaaktipkeun,nu ngagiatkeun
kaaktipan,kagiatan
kuring,"abdi,dewek"
satuju,"cocog,mupakat,saluyu,harmonis,pas"
kacida,"kalintang,pisan,mani"
alem,sanjung,muji
ngalir,ngocor
ngaliran,ngocoran
ngalirkeun,ngocorkeun
Alloh,Pangeran
almarhum,"jenatna,suargi,jenat"
aman,"tengtrem,repeh rapih"
amanah,titipan
amanat,talatah
paniten,nu nitenan
cokot,bantun candak
nyokot,nyandak
nyokotan,nyandakan
nyokotkeun,nyandakkeun
nu nyokot,nu nyandak
kacokot,kacandak
rugrug,ambrug
ngarugrugkeun,ngambrugkeun
karugrugan,kaambrugan
lebe,amil
amit,"idin,widi"
asmara,"cinta,bogoh"
ampun+hampura
nu ngampunan,nu ngahampura
amunisi,eusi bedil
anak,putra
barudak,murangkalih
ngajuru,"babar,medal,ngalahirkeun"
oorokan,boneka
anak tere,putra kawalon
sia,maneh,anjeun
lamun,"upama,upami,saumpama,ibarat"
andel,bisa dipercaya
andil,bagian
delman,dokar,sado
angen-angen,lamunan
nganggap,ngareken
angin,bayu
angkara,"murka,angkara murka"
angsuran,cicilan
angker,serem
ngangsur,cicil
ngangsurkeun,nyicilkeun
kaaniaya,katandasa
nyarankeun,ngusulkeun
saran,usul
anonim,teu make ngaran
anteur,jajap
panganteur,nu nganteur
antik,kuna
arahna,aya arahna
tuak,arak
arakan,iring-iringan
halangan,pamengan
leupeut,lontong
bali,ari-ari
rombongan kapal,armada
hartina,ngandung harti
laju,aliran
asa,harepan
asem,haseum
asih,deudeuh
asisten,pangbantu
asli,"tulen,murni,jati"
asma,mengi,bengek
istirahat,"ngaso,reureuh,leleson"
ngeunah,"nimat,genah,raos,sedep"
asri,"endah,hade"
kaasrian,kaendahan
asuh,didik
sangkaan,"dugaan,prasangka"
abus,"lebet,jero,asup"
atlet,tukang olahraga
awam,umum
jiwa,roh
bapa,rama
ayan,sakalor,sawan
siksaan,hukuman
nyiksa,ngahukum
ajali,papasten
babad,sasakala,sajarah
babi,bagong
bacok,kadek
ngabacok,ngadek
eukeur,"pikeun,keur"
bagea,bagja
donto,"denok,bahenol,demplon"
baju,acuk
bakti,baktos
bandel,bedegong
bandit,"rampog,begal"
hudang,"gugah,bangun,nyaring"
ngahudangkeun,ngabangunkeun
bantal,anggel
loba,seueur
meureun,"manawi,mungkin"
ngabarengan,nyarengan
goler,"ngedeng,ngagoler,patinggoletak,ngagoletak"
baris,jajar
basmi,"barantas,tumpes"
batal,"teu jadi,ragrag"
batuk,gohgoy
simeut,congcorang
kakeueum,"surup,saluyu"
bengong,olohok
benjol,buncunur
sentak,nyentak
warta,wartos
gede,ageung
isuk,isukan
arip,wijaksana
bingbing,aping
ngobrol,ngawangkong
gandeng,baribin
bobot,beurat
ngabodokeun,ngabeletkeun
ngabohong,ngawadul
galak,linghas
jadi galak, jadi linghas
buka,muka
bukti,buktos
bungbu,sambara
reuneuh,"ngandung,ngandeg,reuneuh,bobot"
soraan,disada
kaudag,bisa diudag
butuh,peryogi
cagak,sirung
cabangan,ngabogaan cabang
soeh,ngangkarawak
rawing,rawek
nyoeh-nyoeh,nyoeknyoek
kasoehkeun,kasoekkeun
ngagadabah,ngagunasika
nyempad,"nyarekan,nyawad,maido"
cadang,serep
nyadangkeun,nyerepan
cagak,cabang
cadar,kukudung
cagakan,cabangan
cahaya,cahya,sinar
sanggup,mampuh
ngawangkong,paguneman
obrolan,wangkongan,guneman
bawel,cerewed
calon,bakal
pecut,cameti
alung,"piceun,balang"
kaalungkeun,kapiceun,kabalangkeun
campuran,gabungan,kombinasi
nyampur,pacampur,pagalo
kacantel,kakait
cantelan,cacantel
kacatet,kamuat
kahontal,laksana,tinekanan
ngalegleg,ngarebut
karampas,"karebut,kajabel"
rangsom,jatah
cebur,cemplung
nyebur,ancrub
nyeburkeun,nyemplungkeun
kacebur,kacemplung
raheut,tatu
nyegah,nyaram,ngalarang,ngahalang
kacegah,kacaram
rikat,tangginas,singer
cekong,legok
cawad,hinaan,kritikan
cilaka,sial
kacilakaan,musibah
camerong,caremot
obrolan,ocehan
kotor,butut
ngotoran,ngagogoreng
ngotorkeun,ngaruksak
hariwang,"hawatir,salempang,paur,risi"
kasieunan,kahariwangan
camerut,"baeud,merengut,baketut"
kembu,kembung
katimburuan,kacurigaan
abar,cahayaan,moronyoy
cempadan,ngahina
supa,suung,jamur
bulukan,jamuran
gancang,"geuwat,enggal,cepet"
sagancangna,saenggalna
bengras,lenglang
kapinteran,kalicikan
ceritaan,omongan
taliti,talete
mikacinta,mikabogoh,mikadeudeuh
ciri,tanda
gambaran,wangwangan
cium,ambung
silihcium,pacium-cium
ngesun,ngambung
nyiumkeun,ngambungkeun
kacium,kaambung
coba,cobi
nojos,nusuk
nojoskeun,nyeumatkeun,nyolokkeun
kacolok,katojos
nyocol,nyoel
cocodot,lalay
kacolok,katojos
maok,ngabangsat
kamalingan,kabangsatan
kalomberan,koco
coplok,pocot
mocot,mecat
ngucur,nyuruluk
nyeuseuh,ngumbah
nyeuseuhkeun,mangnyeuseuhkeun,ngumbahkeun
kaseuseuh,kakumbah
seuseuheun,kumbaheun
cukur,paras
nyukur,maras
ngan,mung,saukur
cumah,percumah
ngamercumahkeun,haratis
siliholo,silihoconan,silihrangkul
ngarayu,ngolo
ngutip,nyalin,nurun,nulad
kutipan,cuplikan
mahekeun,ngalimpahkeun
curang,licik
kacurangan,kalicikan
maling,maok,nyokot
kapalingan,kaleungitan
cuti,perlop
ngadacinan,ngiloan
daerah,"wilayah,wewengkon"
dagang,"ical,jualan,jual beli,icalan,usaha,akal,ihtiar"
dagingan,aya dagingna
reuhakan,ngaluarkeun reuhak
boga dahan,dahanan
aya dahanan,mimiti sirungan
taar,tarang
hebat,rongkah
karongkahan,kahebatan
baheula,"bareto,kapungkur"
pangheulana,mimiti
kataerkan,bisa ditaekan
tanjakan,hasil naekan
dakwa,dawa
ngadakwa,ngadawa
ngadakwaan,nungtut
ngadakwakeun,ngadawakeun
nu didakwa,nu didawa
nu ngadakwa,nu ngadawa
dakwaan,dawaan
asup ka jero,ngajeroan
nekunan,meuleuman
ngajeroan,nganteubkeun
mikahayang,ngarepkeun
mangaruhan,ngakibatkeun
hinaan,carekan
jeung,sareng
talaga,situ
deet,cetek
bisa,mampuh
meunang,"narima,nampi,kenging"
pamadegan,buah pamikiran
sameunangna,saayana
dapur,pawon
parawan,mojang
getihan,ngaluarkeun getih
darat,lemah
ngadarat,balabuh
tina,ti
ti palih dinya,ti dinya
ti palih dieu,ti dieun
pelesir,"nyaba,piknik,pakanci,pere"
alas,dadasar
dumasar kana,nurutkeun
datang,"hadir,sumping,aya,namu,dongkap,tepi,dugi,nganjang,nepi"
ngadatangan,"nganjangan,nyanghareup"
kadatangan,datangna
datar,rata
daunan,boga daun
kawatan,aya kawatna
ratug,"raratug,ratug,keketegan"
debat,sawala
lebu,kekebul
lebuan,ngebul
pangbakti,pangabdian
padeukeut,deukeut jeung
nyampeurkeun,ngadeukeutan
kitu,saperti kitu
tetembangan,ngahariring
ngahariringkeun,"nembangkeun,ngalagukeun"
kere,dendeng
jeung,"reujeung,sareng"
ngadengekeun,ngaregepkeun
dengki,"sirik,ngadengki"
nu sirikan,nu dengki
keteg,"nyed-nyedan,enyud-enyudan"
hareup,payun
