No	Label	Kalimat Asli	Kalimat Augmentasi	Teknik Augmentasi
2	anger	nu katoel katuhu nu nyerina kenca goblog wasitna	nu katoel katuhu nu nyerina nu sajati kenca nu rempug goblog wasitna nu jujur	insertion
31	fear	asli ngarinding ngadenge lengser wengi	asli nu serab ngarinding lengser wengi nu jeblos	insertion
42	joy	aslinya hayang seuri ngagakgak	aslinya hayang nu luntur seuri	insertion
64	anger	asli tangkurakna kudu dirujadkeun areuweuh akhlakan	asli tangkurakna nu ogo dirujadkeun areuweuh akhlakan nu minder	insertion
103	anger	teunggeul punukna ku gagang pacul 	teunggeul punukna ku nu pesimistis gagang pacul nu leres	insertion
127	fear	asa keueung hirup di zaman sontoloyo	asa nu legok keueung di nu lebar zaman nu asak sontoloyo	insertion
189	anger	mana jelemana mang podaran ku aing 	mana jelemana mang nu garelo podaran ku nu gundul aing	insertion
194	fear	ngadegdeg sieun barca eleh	ngadegdeg sieun barca nu aduy eleh	insertion
215	joy	asa ragrag jajantung bingah ammarwatasuta	asa nu prihatin ragrag jajantung nu sarupa bingah ammarwatasuta nu simetris	insertion
295	fear	loba anu labuh keueung kieu	loba anu nu pangalusna labuh kieu	insertion
339	fear	aing sieun ngasaan jiga kieu anjing	aing sieun nu neregteg ngasaan jiga kieu anjing nu gagah	insertion
361	anger	nyinyir terus nu baleg goblog babangus teh 	nyinyir terus nu baleg nu pupulasan goblog babangus teh nu sepiritual	insertion
416	joy	bagja urang ningali babaturan sukses 	bagja urang ningali babaturan nu bedegong sukses	insertion
583	fear	goblog paling geus hoream ngadenge lengser wengi	goblog paling nu laleuleus hoream ngadenge lengser wengi nu borangan	insertion
584	fear	ngabirigidig sieun kana bedil sareng bedog	ngabirigidig sieun nu jahat kana bedil sareng bedog nu auh	insertion
680	fear	aing sieun ngadenge suara ambulan	aing sieun nu beler ngadenge suara ambulan nu demplon	insertion
693	fear	goblok ngadadak muringkak aing	goblok nu mamayu muringkakna aing	insertion
696	fear	asa sarieun kieu gusti	asa nu irit sarieunna kieu gusti nu ranyedan	insertion
757	fear	komplek perumahan si uwa sarieun kieu 	komplek perumahan nu manusiawi si uwa nu wekel sarieun kieu	insertion
795	anger	rujit sia beungeut sia siga takokak	rujit sia beungeut sia nu butut siga takokak nu jebrog	insertion
805	anger	belegug kehed sia cicing wae anjing	belegug kehed sia nu nyenyepan cicing wae anjing nu layak	insertion
895	fear	muringkak bulu kuduk nempoan foto di sleman	muringkak bulu kuduk nu talaten nempoan foto di nu wales sleman nu ngeselin	insertion
902	anger	naon si bagong rujit sia hirup	naon si bagong nu rencangna rujit sia hirup	insertion
937	anger	eta beungeut hayang digaplok	eta beungeut hayang nu hanaang digaplok	insertion
991	fear	sieun kieu hujan angin boy	sieun kieu nu gelo hujan angin boy nu panghareupna	insertion
1001	anger	aing hayang neunggeul ieu jelema	aing hayang nu beresih neunggeul ieu jelema nu rujit	insertion
1019	anger	ijid anjing ka jelema anu sok panjang leungeun teh 	ijid anjing ka nu camerong jelema anu nu pigeu panjangna leungeun teh nu sasat	insertion
1039	anger	bagong corona nyusahkeun pisan si anjing	bagong corona nu mejen nyusahkeun pisan si anjing nu agung	insertion
1070	fear	dilegok demi allah tatangga serem mang aduh ngadegdeg	dilegok demi nu dipihormat allah tatangga nu gumira serem mang aduh nu ngabeukahan ngadegdeg	insertion
1116	joy	asa sumringah kieu hate teh	asa nu tablo sumringah kieu hate teh nu otomatis	insertion
1241	fear	sieun euy aya nu odp tatangga	sieun euy nu pupulasan aya nu odp nu hambar tatangga nu sedeng	insertion
1341	fear	sieun ngadenge sora bangkong jam sakieu	sieun nu positif ngadenge sora bangkong nu cekong jam sakieu nu lila	insertion
1357	joy	ngeunah seuri macaan nu parasea beda basa 	ngeunah seuri nu parasea nu alon basa nu perkosa	insertion
1475	fear	sararieun kieu gara gara covid-19	sararieun kieu gara gara nu durjana covid-19 nu cerewed	insertion
1581	fear	muriding ningali nu tabrakan	muriding ningali nu tabrakan nu ilahar	insertion
1771	joy	asa bingah ningal istri rambut pondok teh	asa nu alum bingahna ningal istri rambut nu nyaan pondok teh nu jarang-jarang	insertion
1917	joy	sumpah atoh pisan kaluar imah	sumpah nu ketika atohna kaluar imah nu tradisional	insertion
1967	fear	sarieun tea keur corona kieu kaluar 	sarieun tea nu yatim keur corona kieu nu sepontan kaluar	insertion
2034	joy	nuhun ieu pamajikan seuseurian ningal nu acuk beureum	nuhun ieu nu aralus pamajikan seuseurian nu acuk nu aman beureum nu rombeng	insertion
2057	sadness	ngoceak ningali raga nu papisah jeung nyawa 	ngoceak raga nu papisah nu saujratna jeung nyawa nu gembil	insertion
